"DEFAULT","GENDER","AGE","CITIZEN","PART","INCOME","BALANCE"
"No","Female",40,"DE","No",31336.51,235.94
"No","Female",36,"UK","No",31336.51,235.94
"No","Female",40,"GE","No",39864.86,60.19
"No","Male",42,"GE","No",34648.97,5
"Yes","Male",39,"GE","No",43930.4,1531.72
"No","Female",37,"PO","No",30457.02,133.74
"Yes","Male",30,"IT","No",51656.87,780.17
"No","Male",43,"FR","No",30451.15,49.21
"No","Female",35,"SP","No",54082.42,783.06
"No","Male",35,"FR","No",39337.75,5
"No","Male",39,"GE","No",37679.7,576.09
"No","Male",37,"GR","No",43779.48,863.14
"No","Male",35,"IT","No",44738.56,918.12
"No","Female",33,"FR","No",21150.86,1335.03
"No","Male",35,"IT","No",41872.49,773.74
"No","Male",36,"SP","No",36330.39,964.19
"No","Male",39,"GE","Yes",17657.17,350.02
"No","Male",43,"GE","No",42042.17,1026.51
"No","Male",40,"GE","No",39742.11,5
"No","Female",38,"GE","No",49756.17,331.68
"No","Male",40,"GR","No",47692.89,246.96
"No","Male",37,"FR","Yes",10418.18,788.25
"No","Male",41,"IT","No",39174.06,1060.81
"No","Male",40,"DE","No",33071.55,1024.58
"No","Male",42,"GE","No",38202.58,565.14
"No","Male",47,"GE","No",37486.25,950.35
"Yes","Male",27,"FR","Yes",19027.51,1551.02
"No","Male",36,"SP","No",56607.25,1060.34
"No","Female",41,"FR","No",56607.25,1060.34
"No","Female",42,"GE","Yes",17504.45,436.01
"No","Female",34,"UK","No",51633.33,1377.77
"No","Male",42,"FR","No",32437.13,856.81
"No","Male",37,"FR","No",51936.76,961.47
"No","Male",49,"DE","No",30769.34,426.69
"No","Male",32,"UK","No",46214.16,290.25
"No","Male",35,"FR","No",42325.75,934.97
"No","Male",43,"SP","Yes",26342.05,668.99
"No","Female",36,"DE","Yes",26342.05,668.99
"No","Female",41,"GE","Yes",26342.05,668.99
"No","Male",34,"GE","Yes",26342.05,668.99
"No","Male",42,"GR","Yes",21058.35,1212.59
"No","Male",41,"FR","No",30290.81,961.32
"Yes","Male",31,"UK","Yes",13965.19,1504.29
"No","Male",51,"GR","No",43205.18,628.76
"No","Male",43,"UK","Yes",12710.03,843.49
"No","Male",43,"GE","No",29316.97,24.87
"No","Male",33,"HO","No",29316.97,24.87
"No","Female",37,"GE","No",40223.91,398.78
"No","Female",40,"IT","Yes",18149.89,1521.17
"No","Male",39,"GE","Yes",18149.89,1521.17
"No","Male",43,"SP","No",38215.96,583.82
"Yes","Male",29,"IT","Yes",18077.49,1871.94
"No","Female",44,"SP","Yes",21790.5,591.66
"No","Male",43,"DE","Yes",18185.48,514.28
"No","Female",41,"UK","Yes",18185.48,514.28
"No","Male",48,"GE","Yes",15977.32,1029.68
"No","Male",34,"GE","Yes",11579.16,1463.34
"No","Female",45,"FR","Yes",12048.82,548.27
"No","Male",36,"FR","Yes",12048.82,548.27
"No","Female",45,"GE","Yes",23909.71,555.92
"No","Male",35,"GE","Yes",13621.57,1560.93
"No","Male",38,"PO","No",39585.62,1050.32
"No","Male",39,"SP","No",35155.17,48.91
"No","Female",37,"UK","No",40875.95,609.88
"Yes","Male",34,"UK","No",53394.08,1902.61
"No","Female",42,"FR","Yes",21177.61,450.31
"No","Male",37,"UK","No",55002.73,418.54
"No","Female",50,"FR","No",51355.37,259.24
"No","Female",37,"UK","No",51355.37,259.24
"No","Female",43,"GE","Yes",15682.07,5
"No","Male",36,"FR","No",46185.55,787.55
"No","Male",34,"GE","No",36271.33,1030.93
"Yes","Male",37,"GE","Yes",16580.45,1881.05
"No","Male",37,"GE","Yes",13714.28,1047.09
"No","Male",39,"GE","Yes",15976.64,186.67
"No","Female",48,"PO","No",39224.41,782.78
"No","Female",40,"PO","No",48101.61,872.23
"No","Male",39,"UK","No",46411.82,1228.91
"Yes","Male",31,"GE","No",29525.75,1505.83
"No","Male",48,"FR","Yes",12042.89,843.16
"No","Male",37,"GE","No",37573.14,551.89
"No","Male",36,"GE","No",33781.82,927.17
"No","Male",47,"GE","No",42900.02,747.35
"No","Male",43,"SP","No",36269.29,5
"No","Male",45,"GR","No",51740.89,1201.36
"No","Male",35,"IT","No",52765.06,1107.3
"No","Male",40,"FR","No",55454.63,396.99
"No","Male",40,"GE","Yes",18890.23,1085.84
"No","Male",38,"SP","Yes",20426.79,242.65
"No","Male",42,"FR","Yes",20426.79,242.65
"No","Male",37,"SP","Yes",20426.79,242.65
"No","Male",45,"SP","No",59661,187.6
"Yes","Male",44,"GE","Yes",22652.11,1889.33
"No","Male",42,"UK","No",10774.97,743.69
"No","Female",36,"GE","No",34857.54,1207.7
"No","Female",34,"GE","Yes",22938.14,495.37
"No","Male",38,"GE","Yes",22938.14,495.37
"No","Male",41,"IT","No",52700.11,1166.64
"No","Male",40,"GR","Yes",23245.07,631.16
"Yes","Male",40,"SP","No",37634.35,1243.55
"No","Female",38,"GR","No",43313.28,1296.06
"No","Male",36,"UK","No",47147.73,1088.67
"No","Male",41,"GE","No",36812.71,1105
"No","Male",39,"FR","No",56676.8,293.87
"No","Male",47,"GE","No",54335.22,569.79
"No","Male",38,"DE","Yes",17279.29,945.48
"No","Male",39,"UK","No",35454.76,434.71
"No","Male",41,"UK","No",39135.64,1026.13
"No","Male",47,"IT","No",59561.91,690.71
"No","Male",39,"IT","No",52249.31,207.9
"Yes","Male",33,"UK","No",48965.35,1753.08
"No","Female",38,"FR","No",25557.64,624.08
"No","Female",39,"FR","No",25557.64,624.08
"No","Female",46,"FR","Yes",14322.09,1027.86
"Yes","Female",27,"GE","No",50553.53,1964.01
"No","Male",39,"UK","No",42284.68,5
"No","Male",40,"SP","No",42284.68,5
"Yes","Male",39,"FR","No",44998.29,2033.19
"No","Male",38,"IT","No",39338.86,1225.23
"No","Male",38,"UK","No",34932.49,260.34
"No","Male",39,"SP","No",50505.37,1320.94
"No","Male",40,"FR","No",34728.02,193.36
"Yes","Male",29,"GE","No",49803.29,1488.78
"No","Female",34,"GE","Yes",13709.21,375.2
"No","Female",36,"DE","Yes",13709.21,375.2
"Yes","Male",32,"IT","Yes",25398.2,1424.56
"No","Male",42,"IT","No",42436.69,616.25
"No","Male",39,"FR","No",37462.64,1175.42
"Yes","Male",43,"SP","No",40214.62,1496.07
"No","Male",41,"IT","Yes",23403.06,781.17
"No","Male",39,"IT","No",51770.46,627.88
"No","Male",35,"FR","No",46060.85,828.86
"No","Female",36,"UK","Yes",18903.38,1144.36
"No","Female",41,"FR","No",48642.25,5
"No","Male",39,"GE","No",46420,813.72
"No","Male",33,"GE","No",43900.09,484.68
"No","Male",45,"GE","Yes",16421.49,5
"No","Male",37,"GE","No",38468.24,369.04
"No","Female",40,"FR","Yes",20870.27,1348.96
"Yes","Male",31,"GE","No",51508.87,2024.11
"No","Male",37,"FR","Yes",18256.29,520.56
"No","Male",36,"FR","Yes",24949.62,512.32
"No","Male",40,"UK","Yes",24949.62,512.32
"No","Male",35,"FR","No",24000.89,1175.72
"No","Female",38,"FR","No",41243.85,284.05
"No","Female",44,"UK","No",39109.31,565.51
"No","Male",31,"FR","Yes",22425.54,754.48
"No","Male",41,"SP","Yes",22425.54,754.48
"No","Male",41,"SP","No",37091.87,1594.7
"No","Female",37,"UK","No",38165.69,5
"No","Male",37,"SP","No",46611.73,891.4
"No","Female",35,"FR","No",52489.76,1132.36
"Yes","Male",36,"UK","No",51504.29,2499.02
"No","Male",39,"FR","Yes",19229.23,321.8
"No","Male",40,"IT","No",41931.7,1506.67
"Yes","Female",33,"GE","Yes",12104.32,1402.27
"Yes","Male",28,"FR","No",38881.97,1379.43
"No","Male",39,"GE","No",35755.87,134.86
"No","Male",36,"GE","No",21785.25,1373.56
"Yes","Male",34,"GR","Yes",14947.52,2502.68
"No","Male",48,"GE","No",36592.76,604.32
"No","Male",42,"UK","No",36592.76,604.32
"No","Male",37,"GE","No",35566.96,1366.89
"No","Male",38,"GE","No",27355.81,861.65
"No","Male",44,"GE","No",56483.54,1185.66
"No","Male",45,"FR","Yes",19110.07,550.9
"No","Male",39,"GE","Yes",15261.71,441.63
"No","Female",50,"GE","No",28056.78,810.41
"No","Male",44,"DE","No",28056.78,810.41
"No","Female",43,"SP","No",63041.22,898.98
"No","Female",44,"FR","No",49305.55,318.91
"No","Male",35,"UK","No",49305.55,318.91
"No","Female",40,"UK","No",34836.25,993.58
"Yes","Male",36,"GR","Yes",23898.88,1507.33
"Yes","Male",35,"GE","No",36675.61,1278.41
"No","Male",35,"SP","No",23498.3,1160.5
"No","Male",44,"GE","Yes",18973.91,1200.62
"No","Male",37,"GE","No",30441.55,1682.2
"No","Male",35,"GE","Yes",24945.04,471.14
"No","Male",37,"UK","No",15706.22,549.28
"No","Female",52,"FR","No",37553.55,5
"No","Male",42,"DE","Yes",13376.05,502.8
"No","Female",40,"UK","Yes",13376.05,502.8
"No","Male",35,"IT","Yes",21222.42,1157.14
"No","Male",39,"GE","Yes",20464.03,1417.27
"No","Female",35,"GE","No",25243.1,359.23
"Yes","Male",36,"UK","Yes",23836.46,2123.37
"No","Male",39,"DE","No",20353.5,1316.54
"No","Male",36,"FR","No",20353.5,1316.54
"No","Male",37,"GE","Yes",12327.24,323.96
"No","Male",36,"FR","No",57662.12,1334
"No","Female",41,"HO","No",17059.37,5
"No","Female",43,"UK","No",17059.37,5
"No","Male",43,"FR","Yes",16501.81,630.7
"No","Female",38,"IT","Yes",16501.81,630.7
"No","Male",44,"FR","Yes",17032.34,1762.35
"No","Male",49,"UK","No",43943.24,5
"No","Male",41,"GE","No",39682.8,571.18
"No","Male",41,"GE","No",25962.06,251.43
"No","Female",43,"FR","No",25962.06,251.43
"No","Male",39,"SP","No",42246.22,828.23
"No","Male",42,"GR","Yes",12716.21,146.74
"No","Male",41,"UK","No",24053.48,1830.47
"No","Male",37,"UK","No",24053.48,1830.47
"No","Male",41,"SP","No",40122.4,241.34
"No","Male",42,"FR","No",40122.4,241.34
"No","Male",35,"SP","No",49395.03,361.2
"No","Male",40,"GE","No",27206.66,1162.7
"No","Female",34,"UK","No",34064.88,1463.59
"No","Female",36,"UK","Yes",14070.17,1317.93
"No","Male",45,"HO","No",55503.07,427.33
"No","Male",35,"GE","Yes",27128.17,1092.62
"Yes","Male",33,"GE","No",40725.1,2220.97
"Yes","Male",38,"FR","No",42346.83,1907.38
"No","Male",38,"SP","No",32283.39,1392.26
"No","Male",41,"GE","No",33455.9,1632.81
"No","Male",34,"FR","Yes",14907.07,1418.43
"No","Male",36,"DE","No",32894.8,664.82
"No","Male",42,"GR","No",39800,1295.99
"Yes","Male",31,"GR","No",49787.46,1758.42
"No","Female",37,"UK","No",40186.53,1456.85
"No","Male",58,"GE","Yes",21362.94,1015.51
"No","Male",47,"GE","No",31210.24,988.68
"No","Female",41,"IT","No",31210.24,988.68
"No","Female",48,"GR","No",33976.71,840.11
"No","Male",45,"GE","No",33976.71,840.11
"No","Male",35,"UK","Yes",16373.93,607.09
"No","Male",47,"GR","No",43134.55,457.87
"No","Male",41,"GE","No",46962.79,608.11
"No","Female",41,"UK","Yes",15423.21,627.59
"No","Male",42,"FR","Yes",22786.92,593.06
"No","Female",39,"GE","No",39538.33,736.48
"No","Male",38,"UK","No",43737.18,511.52
"No","Male",42,"IT","No",24098.35,1138.4
"No","Male",45,"HO","No",53806.32,828
"Yes","Female",28,"FR","No",35735.46,1575.49
"No","Male",49,"GE","No",43104.39,148.15
"Yes","Male",29,"DE","No",49604.88,1865.64
"No","Female",52,"UK","No",43814.96,1726.62
"No","Male",39,"GE","No",45456.93,948.97
"No","Female",42,"GE","No",28526.22,814.84
"No","Female",34,"FR","No",62054.99,1319.48
"No","Male",34,"IT","No",55487.22,1033.46
"No","Female",39,"UK","No",34005.86,1713.26
"No","Male",35,"IT","No",43934.86,999.54
"No","Male",36,"GE","No",39723.77,830.57
"No","Female",35,"GE","No",39723.77,830.57
"Yes","Male",31,"GE","No",44607.43,1790.67
"No","Male",40,"SP","No",44207.33,883.47
"Yes","Female",32,"DE","No",38785.36,1567.61
"No","Male",42,"GE","Yes",18148.07,927.77
"No","Female",48,"UK","No",28616.71,796.33
"No","Male",45,"UK","No",32438.06,652.55
"No","Male",38,"UK","No",44690.5,315.01
"Yes","Male",33,"FR","No",38988.86,2074.81
"Yes","Male",38,"GE","Yes",11770.23,2332.88
"No","Male",37,"GE","No",54355.73,1443.88
"No","Male",37,"DE","Yes",15160.49,146.15
"No","Male",35,"UK","No",53702.54,956.53
"No","Female",43,"GE","Yes",16148.19,676.61
"No","Male",38,"HO","Yes",11810.55,933.71
"No","Female",39,"UK","No",51471.14,835.27
"No","Male",41,"FR","No",51471.14,835.27
"No","Female",43,"UK","No",37227.27,1559.75
"No","Male",50,"PO","No",44983.2,392.24
"No","Male",50,"PO","No",38222.26,805.2
"No","Female",35,"UK","No",45142.27,1255.54
"No","Female",38,"FR","No",45142.27,1255.54
"No","Female",37,"HO","No",29697.15,879.37
"No","Male",43,"GR","No",49156.16,1647.43
"No","Female",53,"UK","No",40399.41,215.03
"No","Male",34,"IT","Yes",8970.91,1021.01
"No","Female",44,"GE","No",35773.4,1143.43
"Yes","Male",33,"FR","No",42152.36,1532.33
"No","Male",39,"UK","Yes",2981.28,696.58
"No","Male",40,"FR","Yes",2981.28,696.58
"No","Male",43,"PO","No",30635.57,1536.23
"No","Female",35,"UK","No",40368.54,582.94
"No","Female",36,"FR","No",32316.37,808.63
"No","Male",36,"FR","Yes",22755.26,1716.09
"No","Female",36,"GR","No",35445.92,282.91
"No","Female",41,"UK","No",39543.29,1716.68
"No","Male",33,"GE","No",34579,133.1
"No","Female",37,"SP","No",27196.26,1058.06
"Yes","Male",33,"GE","No",34362.64,1972.17
"No","Male",43,"HO","No",44626.94,906.22
"No","Female",34,"GE","No",48595.7,1698.07
"No","Male",59,"FR","No",59372.71,352.94
"No","Male",35,"GE","Yes",15522.58,1247.07
"No","Male",40,"SP","No",33168.06,5
"Yes","Male",35,"FR","Yes",18021.11,2269.95
"No","Male",45,"GE","No",32724.51,5
"No","Male",39,"GE","No",32724.51,5
"No","Female",37,"DE","No",32724.51,5
"No","Male",43,"DE","No",32724.51,5
"No","Female",39,"UK","No",41365.46,866.17
"No","Male",46,"GE","Yes",10354.94,1165.28
"No","Male",41,"GE","Yes",10354.94,1165.28
"No","Male",35,"GE","No",39274.83,1085.43
"Yes","Male",30,"SP","No",55671.72,1861.06
"No","Male",47,"GE","No",33130.71,900.84
"No","Female",44,"UK","No",26612.56,196.2
"No","Male",36,"GE","Yes",11337.42,1469.37
"No","Male",37,"DE","No",46853.75,331.72
"Yes","Male",35,"FR","No",51508.57,1456.55
"No","Male",36,"DE","No",34066.44,5
"No","Male",45,"GE","No",34066.44,5
"No","Male",37,"IT","No",35123.74,1181
"No","Male",53,"IT","Yes",17819.97,527.65
"No","Male",37,"UK","Yes",26768.91,698.51
"No","Male",44,"DE","No",33897.93,842.54
"No","Male",36,"GR","No",47256.06,5
"No","Male",45,"IT","No",44547.49,850.38
"No","Male",45,"UK","Yes",12799.51,963.19
"No","Male",34,"GE","Yes",12799.51,963.19
"No","Female",32,"GE","No",36783.05,423.88
"No","Male",38,"GE","No",39263.39,283.21
"No","Male",38,"GE","No",52413.86,640.06
"No","Male",39,"FR","No",27405.14,877.28
"No","Male",45,"FR","No",39893.27,5
"No","Male",39,"GE","No",58029.64,861.69
"Yes","Male",33,"GE","No",31821.73,1893.29
"Yes","Male",39,"GE","Yes",25694.5,2009.69
"No","Female",42,"GR","No",36513.92,756.22
"No","Male",45,"GE","No",36303.94,94.12
"No","Male",46,"GE","No",21809.22,5
"No","Female",38,"UK","No",21809.22,5
"No","Male",35,"FR","No",38814.61,529.26
"No","Male",49,"SP","No",40944.56,743.06
"No","Male",48,"GR","No",44214.54,1299.92
"No","Male",38,"GE","No",27074.77,906.54
"No","Male",37,"GE","No",48558.09,1027.57
"No","Male",35,"GE","No",40974.73,1047.23
"No","Male",44,"IT","No",40974.73,1047.23
"Yes","Male",33,"GE","No",35525.21,1858.9
"No","Female",47,"UK","Yes",12699.41,1152.52
"No","Male",46,"IT","Yes",10300.86,1485.27
"No","Female",41,"SP","Yes",11019.61,535.69
"No","Male",46,"IT","No",36034.58,1037.16
"No","Female",41,"UK","No",65211.07,124.7
"No","Male",35,"FR","No",33740.44,1142.4
"No","Male",38,"GE","No",33740.44,1142.4
"No","Male",44,"GE","No",47727.56,1412.02
"No","Female",42,"FR","No",33398.46,149.02
"No","Male",43,"SP","No",43480.57,465.09
"Yes","Male",32,"DE","No",31515.34,1478.12
"No","Male",39,"UK","Yes",14086.45,790.3
"No","Male",39,"IT","Yes",16082.91,1123.6
"No","Male",43,"SP","No",40526.31,833.53
"No","Male",46,"GR","Yes",18518.72,1345.23
"No","Female",46,"GE","Yes",18518.72,1345.23
"No","Female",43,"SP","No",20935.62,136.2
"No","Female",40,"SP","No",26084.41,480.19
"No","Male",40,"SP","No",32798.78,230.87
"No","Female",38,"GR","No",32105.44,932.96
"No","Male",41,"UK","No",31418.37,5
"No","Female",37,"GE","Yes",19445.94,926.89
"No","Male",42,"UK","No",40978.14,763.38
"No","Male",41,"GR","Yes",9775.58,808.74
"No","Male",40,"UK","Yes",20745.02,677.55
"No","Male",35,"FR","Yes",13996.5,904.01
"No","Female",36,"DE","No",47432.43,1309.56
"Yes","Male",34,"IT","No",42080.11,1772.86
"Yes","Male",29,"FR","Yes",14306.82,1790.36
"No","Female",39,"FR","No",34015.85,1425.8
"No","Male",37,"UK","No",34258.83,270.55
"No","Male",37,"IT","Yes",14661.52,722.06
"Yes","Male",30,"IT","No",46692.1,1170.2
"No","Male",35,"UK","No",57146.43,434.24
"No","Male",37,"GE","Yes",20179.35,516.87
"No","Female",44,"IT","No",39398.57,285.4
"Yes","Male",46,"SP","No",26430.49,1554.82
"No","Male",39,"UK","No",49977.29,639.67
"Yes","Male",28,"FR","No",34448.69,1891.11
"No","Male",44,"FR","No",44840.02,1146.36
"No","Female",42,"UK","No",53896.9,1184.9
"No","Female",37,"SP","Yes",16887.16,521.03
"No","Female",42,"UK","Yes",16887.16,521.03
"No","Male",38,"GE","No",33781.78,775.44
"No","Female",35,"GE","No",33781.78,775.44
"No","Male",32,"FR","No",39546.47,509.37
"Yes","Female",38,"FR","Yes",18944.81,1836.16
"No","Female",52,"GR","No",51721.37,1328.97
"No","Male",34,"GR","Yes",19538.03,1199.81
"No","Male",33,"SP","No",35648.39,550.64
"No","Male",44,"GE","No",46173.77,1163.53
"No","Female",34,"GE","No",29842.89,595.07
